,id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
2690,33291134,321360,2066,,,,,,,,
2691,2220014,321360,1119,9.0,3.0,1.0,8.0,11.0,9.0,,2016.0
2692,2220017,321360,1125,0.02,2.0,1.0,0.0,0.04,0.02,,2016.0
2693,2220012,321360,1121,95.0,3.0,1.0,68.0,131.0,84.0,,2016.0
2694,2220020,321360,1131,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
2695,2220015,321360,1109,0.98,2.0,1.0,0.85,1.12,0.98,,2016.0
2696,2219988,321360,1198,0.0,1.0,1.0,,,0.0,,2016.0
2697,2220007,321360,2028,393.0,3.0,1.0,286.0,493.0,399.0,,2016.0
2698,2220011,321360,1160,554.0,3.0,1.0,524.0,594.0,542.0,,2016.0
2699,2220008,321360,1120,0.0,3.0,1.0,0.0,0.0,0.0,,2016.0
2700,2220030,321360,1167,0.805,2.0,1.0,0.8,0.81,0.805,,2016.0
2701,2219984,321360,1162,27.2,12.0,1.0,22.4,32.4,26.3,,2016.0
2702,2220016,321360,1128,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
2703,2219998,321360,1090,11.9,6.0,1.0,10.7,13.1,11.8,,2016.0
2704,2220035,321360,1062,113.0,,49.0,,,,,
2705,2219983,321360,1051,92.5,18.0,1.0,90.9,93.6,92.7,,2016.0
2706,2220006,321360,2032,0.0,3.0,1.0,0.0,0.0,0.0,,2016.0
2707,2219992,321360,1195,0.6,1.0,1.0,,,0.6,,2016.0
2708,2219997,321360,1089,0.33,6.0,1.0,0.28,0.44,0.31,,2016.0
2709,2219999,321360,1101,0.121,6.0,1.0,0.076,0.219,0.098,,2016.0
2710,2220001,321360,1092,260.0,6.0,1.0,239.0,285.0,257.0,,2016.0
2711,2220003,321360,1095,0.2,6.0,1.0,0.18,0.25,0.19,,2016.0
2712,2220018,321360,1129,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
2713,2220013,321360,1122,4100.0,3.0,1.0,3860.0,4240.0,4210.0,,2016.0
2714,2220024,321360,1183,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
2715,2219989,321360,1194,8.0,1.0,1.0,,,8.0,,2016.0
2716,2219994,321360,1180,9.8,1.0,1.0,,,9.8,,2016.0
2717,2220032,321360,1005,5.51,,49.0,,,,,
2718,2219993,321360,1199,0.0,1.0,1.0,,,0.0,,2016.0
2719,2220009,321360,1159,49.0,3.0,1.0,36.0,67.0,46.0,,2016.0
2720,2219995,321360,1087,11.0,6.0,1.0,9.0,15.0,10.0,,2016.0
2721,2220029,321360,1177,10.0,2.0,1.0,9.0,10.0,10.0,,2016.0
2722,2220034,321360,1008,27.0,,49.0,,,,,
2723,2219996,321360,1098,0.058,6.0,1.0,0.042,0.085,0.056,,2016.0
2724,2220021,321360,1126,0.7,2.0,1.0,0.61,0.8,0.7,,2016.0
2725,2220004,321360,1079,2.1,3.0,1.0,1.9,2.2,2.2,,2016.0
2726,2220025,321360,1185,4.2,2.0,1.0,3.3,5.2,4.2,,2016.0
2727,2220031,321360,1003,0.83,,49.0,0.75,0.94,0.81,,
2728,2219991,321360,1196,1.2,1.0,1.0,,,1.2,,2016.0
2729,2220002,321360,1093,6.0,6.0,1.0,3.0,10.0,5.0,,2016.0
2730,2219985,321360,1007,0.56,6.0,1.0,0.51,0.64,0.55,,2016.0
2731,2219987,321360,1002,0.13,6.0,1.0,0.12,0.15,0.13,,2016.0
2732,2220010,321360,1161,12.0,3.0,1.0,9.0,14.0,12.0,,2016.0
2733,2220005,321360,1108,0.0,3.0,1.0,0.0,0.0,0.0,,2016.0
2734,2219986,321360,1004,0.63,6.0,1.0,0.46,0.82,0.64,,2016.0
2735,2220022,321360,1130,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
2736,2220023,321360,1184,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
2737,2220019,321360,1127,0.12,2.0,1.0,0.08,0.15,0.12,,2016.0
2738,2219990,321360,1197,0.0,1.0,1.0,,,0.0,,2016.0
2739,2220027,321360,1165,0.075,2.0,1.0,0.07,0.08,0.075,,2016.0
2740,2220028,321360,1175,0.06,2.0,1.0,0.05,0.07,0.06,,2016.0
2741,2220026,321360,1166,0.065,2.0,1.0,0.06,0.07,0.065,,2016.0
2742,2220000,321360,1091,28.0,6.0,1.0,23.0,33.0,27.0,,2016.0
2743,13338494,321360,2047,31.0,,1.0,,,,,
2744,13338396,321360,2048,27.0,,49.0,,,,,
3235,2220546,321611,1014,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
3236,2220528,321611,1051,93.6,12.0,1.0,93.0,94.2,93.5,,2015.0
3237,2220548,321611,1002,0.17,12.0,1.0,0.13,0.2,0.17,,2015.0
3238,2220529,321611,1095,0.19,12.0,1.0,0.14,0.27,0.19,,2015.0
3239,2220535,321611,1011,0.65,6.0,1.0,0.5,0.72,0.67,,2015.0
3240,2220526,321611,1075,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
3241,2220547,321611,1092,97.0,12.0,1.0,76.0,114.0,96.0,,2015.0
3242,2220549,321611,1063,1.29,,4.0,,,,,
